Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,15,120,206,18.00,115,0,248452606663,255794717003
20000000,20000340,20000340,1472,10,143,579,17.29,150,0,130688921014,138023300995
50000000,50000675,50000675,1472,20,155,488,82.38,135,0,58956769397,67540446867
100000000,100000681,100000681,1472,63,173,596,87.80,136,0,34486486872,43912464489
200000000,199999386,199998386,1472,62,209,628,105.07,147,0,21646691272,32223837188
300000000,300004085,300002585,1472,110,298,539,116.91,285,0,16948387708,28291871204
400000000,400005773,399999773,1472,177,370,621,86.45,377,0,14571209597,26287252921
500000000,499996415,499996415,1472,296,512,1047,86.17,510,0,13121936627,25088232474
600000000,600001693,600001692,1472,620,751,954,49.93,750,0,11818893639,24283286913
700000000,700015536,699994534,1472,643,749,967,37.19,751,0,10677538145,23815338048
800000000,800013042,800005042,1472,686,757,992,24.56,755,0,9673545927,23391615955
900000000,899997122,899997122,1472,694,760,993,15.75,758,0,8703326624,23067312283
1000000000,957545025,999994073,1472,1269,1335,1901,13.96,1334,0,8081305922,23029244114
